id	gpa
1	3.6099999
2	3.6700001
3	4
4	3.1900001
5	2.9300001
6	3
7	2.98
8	3.0799999
9	3.3900001
10	3.9200001
11	4
12	3.22
13	4
14	3.0799999
15	4
16	3.4400001
17	3.8699999
18	2.5599999
19	3.75
20	3.8099999
21	3.1700001
22	3.6300001
23	2.8199999
24	3.1900001
25	3.3499999
26	3.6600001
27	3.6099999
28	3.74
29	3.22
30	3.29
31	3.78
32	3.3499999
33	3.4000001
34	4
35	3.1400001
36	3.05
37	3.25
38	2.9000001
39	3.1300001
40	2.6800001
41	2.4200001
42	3.3199999
43	3.1500001
44	3.3099999
45	2.9400001
46	3.45
47	3.46
48	2.97
49	2.48
50	3.3499999
51	3.8599999
52	3.1300001
53	3.3699999
54	3.27
55	3.3399999
56	4
57	3.1900001
58	2.9400001
59	3.6500001
60	2.8199999
61	3.1800001
62	3.3199999
63	3.6700001
64	3.8499999
65	4
66	3.5899999
67	3.6199999
68	3.3
69	3.6900001
70	3.73
71	4
72	2.9200001
73	3.3900001
74	4
75	3.45
76	4
77	3.3599999
78	4
79	3.1199999
80	4
81	2.9000001
82	3.0699999
83	2.71
84	2.9100001
85	3.5999999
86	2.98
87	3.3199999
88	3.48
89	3.28
90	4
91	3.8299999
92	3.6400001
93	3.9000001
94	2.9300001
95	3.4400001
96	3.3299999
97	3.52
98	3.5699999
99	2.8800001
100	3.3099999
101	3.1500001
102	3.5699999
103	3.3299999
104	3.9400001
105	3.95
106	2.97
107	3.5599999
108	3.1300001
109	2.9300001
110	3.45
111	3.0799999
112	3.4100001
113	3
114	3.22
115	3.8399999
116	3.99
117	3.45
118	3.72
119	3.7
120	2.9200001
121	3.74
122	2.6700001
123	2.8499999
124	2.98
125	3.8800001
126	3.3800001
127	3.54
128	3.74
129	3.1900001
130	3.1500001
131	3.1700001
132	2.79
133	3.4000001
134	3.0799999
135	2.95
136	3.5699999
137	3.3299999
138	4
139	3.4000001
140	3.5799999
141	3.9300001
142	3.52
143	3.9400001
144	3.4000001
145	3.4000001
146	3.4300001
147	3.4000001
148	2.71
149	2.9100001
150	3.3099999
151	3.74
152	3.3800001
153	3.9400001
154	3.46
155	3.6900001
156	2.8599999
157	2.52
158	3.5799999
159	3.49
160	3.8199999
161	3.1300001
162	3.5
163	3.5599999
164	2.73
165	3.3
166	4
167	3.24
168	3.77
169	4
170	3.6199999
171	3.51
172	2.8099999
173	3.48
174	3.4300001
175	3.53
176	3.3699999
177	2.6199999
178	3.23
179	3.3299999
180	3.01
181	3.78
182	3.8800001
183	4
184	3.8399999
185	2.79
186	3.5999999
187	3.6099999
188	2.8800001
189	3.0699999
190	3.3499999
191	2.9400001
192	3.54
193	3.76
194	3.5899999
195	3.47
196	3.5899999
197	3.0699999
198	3.23
199	3.6300001
200	3.77
201	3.3099999
202	3.2
203	4
204	3.9200001
205	3.8900001
206	3.8
207	3.54
208	3.6300001
209	3.1600001
210	3.5
211	3.3399999
212	3.02
213	2.8699999
214	3.3800001
215	3.5599999
216	2.9100001
217	2.9000001
218	3.6400001
219	2.98
220	3.5899999
221	3.28
222	3.99
223	3.02
224	3.47
225	2.9000001
226	3.5
227	3.5799999
228	3.02
229	3.4300001
230	3.4200001
231	3.29
232	3.28
233	3.3800001
234	2.6700001
235	3.53
236	3.05
237	3.49
238	4
239	2.8599999
240	3.45
241	2.76
242	3.8099999
243	2.96
244	3.22
245	3.04
246	3.9100001
247	3.3399999
248	3.1700001
249	3.6400001
250	3.73
251	3.3099999
252	3.21
253	4
254	3.55
255	3.52
256	3.3499999
257	3.3
258	3.95
259	3.51
260	3.8099999
261	3.1099999
262	3.1500001
263	3.1900001
264	3.95
265	3.9000001
266	3.3399999
267	3.24
268	3.6400001
269	3.46
270	2.8099999
271	3.95
272	3.3299999
273	3.6700001
274	3.3199999
275	3.1199999
276	2.98
277	3.77
278	3.5799999
279	3
280	3.1400001
281	3.9400001
282	3.27
283	3.45
284	3.0999999
285	3.3900001
286	3.3099999
287	3.22
288	3.7
289	3.1500001
290	2.26
291	3.45
292	2.78
293	3.7
294	3.97
295	2.55
296	3.25
297	3.1600001
298	3.0699999
299	3.5
300	3.4000001
301	3.3
302	3.5999999
303	3.1500001
304	3.98
305	2.8299999
306	3.46
307	3.1700001
308	3.51
309	3.1300001
310	2.98
311	4
312	3.6700001
313	3.77
314	3.6500001
315	3.46
316	2.8399999
317	3
318	3.6300001
319	3.71
320	3.28
321	3.1400001
322	3.5799999
323	3.01
324	2.6900001
325	2.7
326	3.9000001
327	3.3099999
328	3.48
329	3.3399999
330	2.9300001
331	4
332	3.5899999
333	2.96
334	3.4300001
335	3.6400001
336	3.71
337	3.1500001
338	3.0899999
339	3.2
340	3.47
341	3.23
342	2.6500001
343	3.95
344	3.0599999
345	3.3499999
346	3.03
347	3.3499999
348	3.8
349	3.3599999
350	2.8499999
351	4
352	3.4300001
353	3.1199999
354	3.52
355	3.78
356	2.8099999
357	3.27
358	3.3099999
359	3.6900001
360	3.9400001
361	4
362	3.49
363	3.1400001
364	3.4400001
365	3.3599999
366	2.78
367	2.9300001
368	3.6300001
369	4
370	3.8900001
371	3.77
372	3.76
373	2.4200001
374	3.3699999
375	3.78
376	3.49
377	3.6300001
378	4
379	3.1199999
380	2.7
381	3.6500001
382	3.49
383	3.51
384	4
385	2.6199999
386	3.02
387	3.8599999
388	3.3599999
389	3.1700001
390	3.51
391	3.05
392	3.8800001
393	3.3800001
394	3.75
395	3.99
396	4
397	3.04
398	2.6300001
399	3.6500001
400	3.8900001
